country,hdi_rank_2017,edu_index_2017,ratio_1990,ratio_1995,ratio_2000,ratio_2005,ratio_2010,ratio_2011,ratio_2012,ratio_2013,ratio_2014,ratio_2015,ratio_2016,ratio_2017,latest_ratio,latest_ratio_year,,
Iraq,120,0.534,,,21,,,,,,,,,,21,2000,,
Ireland,4,0.912,27,23,,18,16,16,16,,,,,,16,2012,,
Israel,22,0.874,14,,14,13,13,13,,12,12,12,,,12,2015,,
Italy,28,0.791,12,11,11,10,,,,12,12,12,,,12,2015,,
Jamaica,97,0.69,34,,,,,23,23,22,22,22,26,,26,2016,,
Japan,19,0.848,21,19,21,19,18,17,17,17,16,16,,,16,2015,,
Jordan,95,0.711,,24,,,,,,,17,,18,,18,2016,,
Kazakhstan,58,0.814,21,20,,17,16,16,16,16,17,16,19,21,21,2017,,
Kenya,142,0.551,,,34,42,,,57,,31,31,,,31,2015,,
Kiribati,134,0.62,29,27,32,25,,,,,26,,26,,26,2016,,
North Korea,,,,,,,,,,,,21,,,21,2015,,
South Korea,22,0.862,36,30,32,28,21,19,18,17,17,17,,,17,2015,,
Kuwait,56,0.62,18,15,14,12,8,9,9,9,9,9,9,,9,2016,,
Kyrgyzstan,122,0.735,,,24,24,24,25,24,25,25,26,25,,25,2016,,
Laos,139,0.485,28,30,30,31,29,27,27,26,25,24,23,,23,2016,,
Latvia,41,0.866,15,13,15,12,12,11,11,11,11,11,,,11,2015,,
Lebanon,80,0.637,,,14,15,14,14,14,12,12,,12,,12,2016,,
Lesotho,159,0.502,55,48,48,42,34,34,34,33,33,33,34,,34,2016,,
Liberia,181,0.434,,,38,,,27,,,26,30,,,30,2015,,
Libya,108,0.616,,,,,,,,,,,,,n.a,,,
Liechtenstein,17,0.827,,,,9,6,8,7,,8,8,8,,8,2016,,
Lithuania,35,0.879,19,16,16,14,13,12,12,13,13,13,13,,13,2016,,
Luxembourg,21,0.792,,,,11,9,9,8,8,8,8,,,8,2015,,
Madagascar,161,0.498,40,38,48,54,40,43,43,40,42,41,41,,41,2016,,
Malawi,171,0.451,,,,,79,76,74,69,73,70,,,70,2015,,
Malaysia,57,0.719,20,20,20,17,13,12,12,12,11,12,12,,12,2016,,
Maldives,101,0.56,,,23,20,12,12,11,11,12,10,10,,10,2016,,
Mali,182,0.293,45,74,65,54,50,48,,41,42,43,39,,39,2016,,
Malta,29,0.818,23,22,19,18,14,13,11,14,13,13,13,,13,2016,,
Marshall Islands,106,0.723,,,,,,,,,,,,,n.a,,,
Mauritania,159,0.389,44,52,45,40,37,39,40,35,34,36,36,,36,2016,,
Mauritius,65,0.729,21,24,26,22,21,20,21,20,19,19,18,,18,2016,,
Mexico,74,0.678,31,29,27,28,28,28,28,28,27,27,27,,27,2016,,
Federated States of Micronesia,131,0.59,,,,,,,,,,20,,,20,2015,,
Moldova,112,0.71,24,24,21,18,15,15,16,16,17,17,17,,17,2016,,
Monaco,,,,17,,,,,,,,13,14,,14,2016,,
Mongolia,92,0.766,30,24,33,34,30,29,29,28,27,28,30,,30,2016,,
Morocco,123,0.529,25,28,29,27,26,26,26,26,26,26,27,,27,2016,,
Montenegro,,0.79,,,,,,,,,,,,,n.a,,,
Mozambique,180,0.385,55,58,64,66,58,55,55,55,55,55,,,55,2015,,
Myanmar,148,0.443,45,46,33,31,28,,,,28,,,22,22,2017,,
Namibia,129,0.571,,30,32,31,30,,,,,,,,30,2010,,
Nauru,,,,,21,28,,,,,39,,40,,40,2016,,
